"id","country","gender","responseRate","status","tags","positiv_reviews","suitable_for_children","pets_allowed","smoking_allowed"
20000,"Andorra","other",-1,"yes","",0,"False","False","False"
20002,"Armenia","male",-1,"maybe","",0,"False","False","False"
20048,"Bahamas","male",-1,"yes","",0,"False","False","False"
20049,"Bahrain","other",-1,"yes","",0,"False","False","False"
20050,"Bangladesh","male",-1,"yes","",0,"False","False","False"
20051,"Belarus","male",-1,"yes","",0,"False","False","False"
20052,"Belgium","male",-1,"yes","",0,"False","False","False"
20053,"Benin","male",-1,"maybe","",0,"False","False","False"
20054,"Bhutan","male",-1,"yes","",0,"False","False","False"
20056,"Botswana","male",-1,"maybe","",0,"False","False","False"
20057,"Brazil","male",-1,"yes","",0,"False","False","False"
20058,"Bulgaria","female",-1,"maybe","",0,"False","False","False"
20059,"Burundi","male",-1,"yes","",0,"False","False","False"
20060,"Cambodia","male",-1,"yes","",0,"False","False","False"
20061,"Cameroon","male",-1,"yes","",0,"False","False","False"
20062,"Canada","male",-1,"yes","",0,"False","False","False"
20080,"Central African Republic","male",-1,"yes","",0,"False","False","False"
20081,"Chad","female",-1,"yes","",0,"False","False","False"
20082,"Chile","female",-1,"maybe","",0,"False","False","False"
20083,"China","male",-1,"yes","",5,"True","True","False"
20084,"Colombia","male",50,"maybe","",8,"True","False","False"
20085,"Comoros","male",-1,"maybe","",0,"False","False","False"
20086,"Costa Rica","male",-1,"maybe","",2,"False","False","False"
20088,"Cuba","male",-1,"maybe","",0,"False","False","False"
20090,"Cyprus","male",-1,"maybe","",0,"False","False","False"
20091,"Czech Republic","male",-1,"yes","",0,"False","False","False"
20096,"Democratic Republic of Congo","other",-1,"maybe","",0,"False","False","False"
20097,"Denmark","male",-1,"yes","",0,"False","False","False"
20098,"Djibouti","female",-1,"maybe","",0,"False","False","False"
20099,"Dominica","male",-1,"yes","",0,"False","False","False"
20100,"Dominican Republic","male",-1,"yes","",0,"False","False","False"
20129,"Egypt","female",-1,"maybe","",0,"False","False","False"
20144,"El Salvador","male",-1,"maybe","",0,"False","False","False"
20176,"Ethiopia","male",-1,"yes","",0,"False","False","False"
20177,"Falkland Islands (Malvinas)","other",-1,"yes","",0,"False","False","False"
20179,"Fiji","male",-1,"yes","",0,"False","False","False"
20180,"Finland","male",-1,"maybe","",0,"False","False","False"
20193,"French Guiana","male",-1,"maybe","",0,"False","False","False"
20194,"French Polynesia","female",-1,"maybe","",0,"False","False","False"
20195,"Gabon","female",-1,"yes","",0,"False","False","False"
20196,"Gambia","male",-1,"maybe","",0,"False","False","False"
20197,"Georgia","male",100,"yes","   Friendly    Flexible    Knowledgeable    Fun    Thoughtful    Respectful",74,"True","False","False"
20198,"Germany","male",-1,"yes","",0,"False","False","False"
20200,"Greece","male",-1,"maybe","",0,"False","False","False"
20201,"Grenada","female",66,"maybe","   Friendly    Flexible    Thoughtful    Fun    Knowledgeable    Reliable    Respectful",7,"True","True","False"
20203,"Guam","other",-1,"yes","",0,"False","False","False"
20225,"Guyana","male",-1,"maybe","",0,"False","False","False"
20227,"Hong Kong","male",-1,"maybe","",3,"False","False","False"
20241,"Indonesia","other",-1,"maybe","",0,"False","False","False"
20242,"Iran","male",-1,"maybe","",0,"False","False","False"
20244,"Ireland","male",-1,"maybe","",10,"False","False","False"
20258,"Italy","other",-1,"yes","",0,"False","False","False"
20288,"Japan","female",-1,"yes","",0,"False","False","False"
20289,"Jordan","female",-1,"maybe","",0,"False","False","False"
20290,"Kazakhstan","female",-1,"maybe","",0,"False","False","False"
20291,"Kuwait","female",-1,"maybe","",0,"False","False","False"
20293,"Latvia","female",-1,"maybe","",0,"False","False","False"
20338,"Lithuania","male",-1,"yes","",0,"False","False","False"
20368,"Luxembourg","other",-1,"maybe","",1,"True","False","True"
20373,"Mali","male",-1,"maybe","",0,"False","False","False"
20376,"Mauritania","other",-1,"yes","",0,"False","False","False"
20378,"Moldova","female",-1,"yes","",0,"False","False","False"
20380,"Mongolia","female",-1,"maybe","",0,"False","False","False"
20382,"Montserrat","male",-1,"yes","",5,"False","False","False"
20383,"Morocco","female",-1,"maybe","",0,"False","False","False"
20400,"Mozambique","female",-1,"yes","",0,"False","False","False"
20401,"Namibia","female",-1,"maybe","",0,"False","False","False"
20402,"Nepal","male",-1,"yes","",0,"False","False","False"
20403,"Netherlands","male",-1,"yes","",0,"False","False","False"
20404,"Netherlands Antilles","male",-1,"yes","",0,"False","False","False"
20407,"Nicaragua","male",-1,"yes","",0,"False","False","False"
20416,"Northern Mariana Islands","male",-1,"maybe","",0,"False","False","False"
20417,"Norway","male",-1,"maybe","",0,"False","False","False"
20418,"Oman","male",-1,"yes","",0,"False","False","False"
20421,"Panama","male",-1,"yes","",0,"False","False","False"
20422,"Papua New Guinea","male",-1,"yes","",0,"False","False","False"
20426,"Poland","female",-1,"yes","",0,"False","False","False"
20449,"Puerto Rico","male",-1,"maybe","",0,"False","False","False"
20450,"Qatar","male",-1,"yes","",0,"False","False","False"
20453,"Rwanda","male",-1,"yes","",0,"False","False","False"
20454,"Saint Kitts and Nevis","female",-1,"yes","",0,"False","False","False"
20456,"Saint Martin (French part)","female",-1,"yes","",0,"False","False","False"
20457,"Saint Pierre and Miquelon","male",-1,"yes","",0,"False","False","False"
20462,"Saudi Arabia","female",-1,"maybe","",0,"False","False","False"
20463,"Scotland","male",-1,"maybe","",0,"False","False","False"
20480,"Senegal","male",-1,"yes","",0,"False","False","False"
20481,"Serbia","female",-1,"yes","",0,"True","False","True"
20483,"Sierra Leone","male",-1,"maybe","",0,"False","False","False"
20484,"Singapore","other",-1,"maybe","",0,"False","False","False"
20485,"Slovakia","male",-1,"maybe","",2,"True","False","False"
20487,"Somalia","male",-1,"yes","",0,"False","False","False"
20488,"South Africa","male",-1,"maybe","",0,"False","False","False"
20496,"South Georgia and the South Sandwich Islands","female",-1,"maybe","",0,"False","False","False"
20501,"Suriname","male",-1,"yes","",0,"False","False","False"
20502,"Swaziland","male",-1,"yes","",0,"False","False","False"
20528,"Switzerland","male",-1,"maybe","",0,"False","False","False"
20529,"Syrian Arab Republic","female",-1,"maybe","",0,"False","False","False"
20530,"Taiwan","other",-1,"yes","",0,"False","False","False"
20531,"Tajikistan","male",-1,"maybe","",0,"False","False","False"
20532,"Thailand","other",-1,"maybe","",0,"False","False","False"
20533,"Timor-Leste (East Timor)","male",-1,"yes","",0,"False","False","False"
20534,"Trinidad and Tobago","male",-1,"maybe","",0,"False","False","False"
20535,"Tunisia","female",-1,"maybe","",0,"False","False","False"
20539,"Uganda","male",-1,"maybe","",0,"False","False","False"
20540,"Ukraine","male",50,"yes","",0,"True","False","False"
20541,"United Arab Emirates","male",-1,"yes","",0,"False","False","False"
20542,"United Kingdom","female",-1,"maybe","",0,"False","False","False"
20561,"Uruguay","female",-1,"yes","",0,"False","False","False"
20562,"Uzbekistan","male",-1,"yes","",0,"False","False","False"
20565,"Viet Nam","female",-1,"maybe","",0,"False","False","False"
20566,"Wales","male",-1,"yes","",0,"False","False","False"
20568,"Yemen","female",-1,"yes","",0,"False","False","False"
20573,"Armenia","female",-1,"maybe","",0,"False","True","False"
20575,"Austria","male",-1,"maybe","",0,"True","False","False"
20594,"Bahrain","other",-1,"yes","",0,"False","False","False"
20595,"Bangladesh","male",-1,"yes","",0,"False","False","False"
20596,"Belarus","male",-1,"yes","",0,"False","False","False"
20599,"Bhutan","male",-1,"yes","",0,"False","False","False"
20601,"Botswana","female",-1,"maybe","",0,"False","False","False"
20624,"Brazil","male",-1,"maybe","",0,"False","False","False"
20626,"Burundi","female",-1,"yes","",0,"False","False","False"
20627,"Cambodia","male",-1,"yes","",0,"False","False","False"
20630,"Cayman Islands","male",-1,"maybe","",0,"False","False","False"
20632,"Chad","male",-1,"maybe","",0,"False","False","False"
20638,"Croatia","other",-1,"yes","",0,"False","False","False"
20639,"Cuba","male",-1,"maybe","",0,"False","False","False"
20640,"Curaçao","male",-1,"yes","",0,"False","False","False"
20641,"Cyprus","female",-1,"yes","",0,"False","False","False"
20645,"Djibouti","male",-1,"yes","",0,"False","False","False"
20646,"Dominica","male",-1,"yes","",0,"False","False","False"
20648,"Ecuador","male",-1,"yes","",0,"False","False","False"
20649,"Egypt","male",100,"maybe","",14,"True","False","False"
20650,"El Salvador","male",0,"yes","",1,"False","False","False"
20651,"England","male",-1,"yes","",0,"False","False","False"
20653,"Eritrea","male",-1,"yes","",0,"False","False","False"
20654,"Estonia","male",-1,"yes","",0,"False","False","False"
20655,"Ethiopia","male",-1,"maybe","",2,"False","False","True"
20672,"Falkland Islands (Malvinas)","male",-1,"yes","",0,"False","False","False"
20674,"Fiji","male",-1,"maybe","",0,"False","False","False"
20675,"Finland","male",-1,"maybe","",0,"False","False","False"
20678,"French Polynesia","female",-1,"yes","",0,"False","False","False"
20688,"Gabon","male",-1,"yes","",0,"False","False","False"
20690,"Georgia","male",-1,"maybe","",0,"False","False","False"
20693,"Greece","male",-1,"yes","",0,"False","False","False"
